distName,clean_name,skipped,condition1,condition2,condition3,condition4,condition5
EAST POINSETT CO. SCHOOL DIST.,EAST POINSETT CO. School District,,ends with 'SCHOOL DIST.'
CLEVELAND COUNTY SCHOOL DIST.,CLEVELAND COUNTY School District,,ends with 'SCHOOL DIST.'
CAMDEN FAIRVIEW SCHOOL DIST.,CAMDEN FAIRVIEW School District,,ends with 'SCHOOL DIST.'
HELENA/ W.HELENA SCHOOL DIST.,HELENA/ W.HELENA School District,,ends with 'SCHOOL DIST.'
PULASKI CO. SPEC. SCHOOL DIST.,PULASKI CO. SPEC. School District,,ends with 'SCHOOL DIST.'
GREENE CO. TECH SCHOOL DIST.,GREENE CO. TECH School District,,ends with 'SCHOOL DIST.'
Monroe ISD,Monroe Independent School District,,ends with 'ISD'
Washtenaw ISD,Washtenaw Independent School District,,ends with 'ISD'
UNITED SOUTH CENTRAL SCHOOL DIST.,UNITED SOUTH CENTRAL School District,,ends with 'SCHOOL DIST.'
MURRAY COUNTY CENTRAL SCHOOL DIST.,MURRAY COUNTY CENTRAL School District,,ends with 'SCHOOL DIST.'
LAC QUI PARLE VALLEY SCHOOL DIST.,LAC QUI PARLE VALLEY School District,,ends with 'SCHOOL DIST.'
JACKSON COUNTY CENTRAL SCHOOL DIST.,JACKSON COUNTY CENTRAL School District,,ends with 'SCHOOL DIST.'
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN PUBLIC School District,,ends with 'SCHOOL DIST.'
DETROIT LAKES PUBLIC SCHOOL DIST.,DETROIT LAKES PUBLIC School District,,ends with 'SCHOOL DIST.'
LEWISTON-ALTURA PUBLIC SCHOOL DIST.,LEWISTON-ALTURA PUBLIC School District,,ends with 'SCHOOL DIST.'
SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SOUTH ST. PAUL PUBLIC School District,,ends with 'SCHOOL DIST.'
ST. LOUIS PARK PUBLIC SCHOOL DIST.,ST. LOUIS PARK PUBLIC School District,,ends with 'SCHOOL DIST.'
STILLWATER AREA PUBLIC SCHOOL DIST.,STILLWATER AREA PUBLIC School District,,ends with 'SCHOOL DIST.'
WABASHA-KELLOGG PUBLIC SCHOOL DIST.,WABASHA-KELLOGG PUBLIC School District,,ends with 'SCHOOL DIST.'
SARATOGA SPRINGS CITY SD,SARATOGA SPRINGS CITY School District,,ends with 'SD'
Medina City SD,Medina City School District,,ends with 'SD'
Crook County SD,Crook County School District,,ends with 'SD'
Hood River County SD,Hood River County School District,,ends with 'SD'
Three Rivers/Josephine County SD,Three Rivers/Josephine County School District,,ends with 'SD'
Klamath County SD,Klamath County School District,,ends with 'SD'
Lincoln County SD,Lincoln County School District,,ends with 'SD'
Central Valley SD,Central Valley School District,,ends with 'SD'
Abington Heights SD,Abington Heights School District,,ends with 'SD'
Abington SD,Abington School District,,ends with 'SD'
Aliquippa SD,Aliquippa School District,,ends with 'SD'
Allentown City SD,Allentown City School District,,ends with 'SD'
Altoona Area SD,Altoona Area School District,,ends with 'SD'
Wissahickon SD,Wissahickon School District,,ends with 'SD'
Ambridge Area SD,Ambridge Area School District,,ends with 'SD'
Antietam SD,Antietam School District,,ends with 'SD'
Annville-Cleona SD,Annville-Cleona School District,,ends with 'SD'
Avon Grove SD,Avon Grove School District,,ends with 'SD'
Avonworth SD,Avonworth School District,,ends with 'SD'
Pine-Richland SD,Pine-Richland School District,,ends with 'SD'
Bangor Area SD,Bangor Area School District,,ends with 'SD'
Belle Vernon Area SD,Belle Vernon Area School District,,ends with 'SD'
Bensalem Township SD,Bensalem Township School District,,ends with 'SD'
Bermudian Springs SD,Bermudian Springs School District,,ends with 'SD'
Berwick Area SD,Berwick Area School District,,ends with 'SD'
Bethlehem Area SD,Bethlehem Area School District,,ends with 'SD'
Big Beaver Falls Area SD,Big Beaver Falls Area School District,,ends with 'SD'
Blairsville-Saltsburg SD,Blairsville-Saltsburg School District,,ends with 'SD'
Bloomsburg Area SD,Bloomsburg Area School District,,ends with 'SD'
Boyertown Area SD,Boyertown Area School District,,ends with 'SD'
Brandywine Heights Area SD,Brandywine Heights Area School District,,ends with 'SD'
Brentwood Borough SD,Brentwood Borough School District,,ends with 'SD'
Bristol Borough SD,Bristol Borough School District,,ends with 'SD'
Bristol Township SD,Bristol Township School District,,ends with 'SD'
California Area SD,California Area School District,,ends with 'SD'
Camp Hill SD,Camp Hill School District,,ends with 'SD'
Canon-McMillan SD,Canon-McMillan School District,,ends with 'SD'
Carbondale Area SD,Carbondale Area School District,,ends with 'SD'
Carlisle Area SD,Carlisle Area School District,,ends with 'SD'
Carlynton SD,Carlynton School District,,ends with 'SD'
Catasauqua Area SD,Catasauqua Area School District,,ends with 'SD'
Centennial SD,Centennial School District,,ends with 'SD'
Central Bucks SD,Central Bucks School District,,ends with 'SD'
Central Dauphin SD,Central Dauphin School District,,ends with 'SD'
Central York SD,Central York School District,,ends with 'SD'
Chambersburg Area SD,Chambersburg Area School District,,ends with 'SD'
Chartiers-Houston SD,Chartiers-Houston School District,,ends with 'SD'
Cheltenham SD,Cheltenham School District,,ends with 'SD'
Chester-Upland SD,Chester-Upland School District,,ends with 'SD'
Chichester SD,Chichester School District,,ends with 'SD'
Clarion Area SD,Clarion Area School District,,ends with 'SD'
Coatesville Area SD,Coatesville Area School District,,ends with 'SD'
Cocalico SD,Cocalico School District,,ends with 'SD'
Columbia Borough SD,Columbia Borough School District,,ends with 'SD'
Conestoga Valley SD,Conestoga Valley School District,,ends with 'SD'
Conewago Valley SD,Conewago Valley School District,,ends with 'SD'
Conrad Weiser Area SD,Conrad Weiser Area School District,,ends with 'SD'
Cornwall-Lebanon SD,Cornwall-Lebanon School District,,ends with 'SD'
Crawford Central SD,Crawford Central School District,,ends with 'SD'
Cumberland Valley SD,Cumberland Valley School District,,ends with 'SD'
Dallastown Area SD,Dallastown Area School District,,ends with 'SD'
Daniel Boone Area SD,Daniel Boone Area School District,,ends with 'SD'
Danville Area SD,Danville Area School District,,ends with 'SD'
Delaware Valley SD,Delaware Valley School District,,ends with 'SD'
Derry Township SD,Derry Township School District,,ends with 'SD'
Donegal SD,Donegal School District,,ends with 'SD'
Dover Area SD,Dover Area School District,,ends with 'SD'
Downingtown Area SD,Downingtown Area School District,,ends with 'SD'
Dunmore SD,Dunmore School District,,ends with 'SD'
East Allegheny SD,East Allegheny School District,,ends with 'SD'
Forest Area SD,Forest Area School District,,ends with 'SD'
Eastern Lebanon County SD,Eastern Lebanon County School District,,ends with 'SD'
East Penn SD,East Penn School District,,ends with 'SD'
East Pennsboro Area SD,East Pennsboro Area School District,,ends with 'SD'
East Stroudsburg Area SD,East Stroudsburg Area School District,,ends with 'SD'
Eastern York SD,Eastern York School District,,ends with 'SD'
Eastern Lancaster County SD,Eastern Lancaster County School District,,ends with 'SD'
Easton Area SD,Easton Area School District,,ends with 'SD'
Elizabethtown Area SD,Elizabethtown Area School District,,ends with 'SD'
Elk Lake SD,Elk Lake School District,,ends with 'SD'
Ephrata Area SD,Ephrata Area School District,,ends with 'SD'
Erie City SD,Erie City School District,,ends with 'SD'
Exeter Township SD,Exeter Township School District,,ends with 'SD'
Farrell Area SD,Farrell Area School District,,ends with 'SD'
Fleetwood Area SD,Fleetwood Area School District,,ends with 'SD'
Fort LeBoeuf SD,Fort LeBoeuf School District,,ends with 'SD'
Fox Chapel Area SD,Fox Chapel Area School District,,ends with 'SD'
Franklin Area SD,Franklin Area School District,,ends with 'SD'
Garnet Valley SD,Garnet Valley School District,,ends with 'SD'
Gateway SD,Gateway School District,,ends with 'SD'
Gettysburg Area SD,Gettysburg Area School District,,ends with 'SD'
Governor Mifflin SD,Governor Mifflin School District,,ends with 'SD'
Great Valley SD,Great Valley School District,,ends with 'SD'
Greensburg Salem SD,Greensburg Salem School District,,ends with 'SD'
Greater Johnstown SD,Greater Johnstown School District,,ends with 'SD'
Greencastle-Antrim SD,Greencastle-Antrim School District,,ends with 'SD'
Grove City Area SD,Grove City Area School District,,ends with 'SD'
Halifax Area SD,Halifax Area School District,,ends with 'SD'
Hamburg Area SD,Hamburg Area School District,,ends with 'SD'
Hanover Area SD,Hanover Area School District,,ends with 'SD'
Hanover Public SD,Hanover Public School District,,ends with 'SD'
Harbor Creek SD,Harbor Creek School District,,ends with 'SD'
Harrisburg City SD,Harrisburg City School District,,ends with 'SD'
Hatboro-Horsham SD,Hatboro-Horsham School District,,ends with 'SD'
Haverford Township SD,Haverford Township School District,,ends with 'SD'
Hazleton Area SD,Hazleton Area School District,,ends with 'SD'
Saucon Valley SD,Saucon Valley School District,,ends with 'SD'
Hempfield  SD,Hempfield  School District,,ends with 'SD'
Hermitage SD,Hermitage School District,,ends with 'SD'
Highlands SD,Highlands School District,,ends with 'SD'
Hopewell Area SD,Hopewell Area School District,,ends with 'SD'
Indiana Area SD,Indiana Area School District,,ends with 'SD'
Interboro SD,Interboro School District,,ends with 'SD'
Iroquois SD,Iroquois School District,,ends with 'SD'
Jeannette City SD,Jeannette City School District,,ends with 'SD'
Jim Thorpe Area SD,Jim Thorpe Area School District,,ends with 'SD'
Juniata County SD,Juniata County School District,,ends with 'SD'
Kennett Consolidated SD,Kennett Consolidated School District,,ends with 'SD'
Keystone Oaks SD,Keystone Oaks School District,,ends with 'SD'
Kiski Area SD,Kiski Area School District,,ends with 'SD'
Kutztown Area SD,Kutztown Area School District,,ends with 'SD'
Lampeter-Strasburg SD,Lampeter-Strasburg School District,,ends with 'SD'
Lancaster SD,Lancaster School District,,ends with 'SD'
Laurel Highlands SD,Laurel Highlands School District,,ends with 'SD'
Lebanon SD,Lebanon School District,,ends with 'SD'
Lehighton Area SD,Lehighton Area School District,,ends with 'SD'
Lewisburg Area SD,Lewisburg Area School District,,ends with 'SD'
Ligonier Valley SD,Ligonier Valley School District,,ends with 'SD'
Littlestown Area SD,Littlestown Area School District,,ends with 'SD'
Lower Dauphin SD,Lower Dauphin School District,,ends with 'SD'
Lower Merion SD,Lower Merion School District,,ends with 'SD'
Lower Moreland Township SD,Lower Moreland Township School District,,ends with 'SD'
Methacton SD,Methacton School District,,ends with 'SD'
Mahanoy Area SD,Mahanoy Area School District,,ends with 'SD'
Manheim Central SD,Manheim Central School District,,ends with 'SD'
Manheim Township SD,Manheim Township School District,,ends with 'SD'
Marple Newtown SD,Marple Newtown School District,,ends with 'SD'
Central Fulton SD,Central Fulton School District,,ends with 'SD'
McKeesport Area SD,McKeesport Area School District,,ends with 'SD'
Mechanicsburg Area SD,Mechanicsburg Area School District,,ends with 'SD'
Mid Valley SD,Mid Valley School District,,ends with 'SD'
Middletown Area SD,Middletown Area School District,,ends with 'SD'
Millcreek Township SD,Millcreek Township School District,,ends with 'SD'
Milton Area SD,Milton Area School District,,ends with 'SD'
Minersville Area SD,Minersville Area School District,,ends with 'SD'
Montour SD,Montour School District,,ends with 'SD'
Moon Area SD,Moon Area School District,,ends with 'SD'
Morrisville Borough SD,Morrisville Borough School District,,ends with 'SD'
Mount Carmel Area SD,Mount Carmel Area School District,,ends with 'SD'
Mount Union Area SD,Mount Union Area School District,,ends with 'SD'
Muhlenberg SD,Muhlenberg School District,,ends with 'SD'
Muncy SD,Muncy School District,,ends with 'SD'
Greater Nanticoke Area SD,Greater Nanticoke Area School District,,ends with 'SD'
Nazareth Area SD,Nazareth Area School District,,ends with 'SD'
Neshaminy SD,Neshaminy School District,,ends with 'SD'
Woodland Hills SD,Woodland Hills School District,,ends with 'SD'
New Castle Area SD,New Castle Area School District,,ends with 'SD'
New Kensington-Arnold SD,New Kensington-Arnold School District,,ends with 'SD'
New Hope-Solebury SD,New Hope-Solebury School District,,ends with 'SD'
Norristown Area SD,Norristown Area School District,,ends with 'SD'
North Allegheny SD,North Allegheny School District,,ends with 'SD'
North Hills SD,North Hills School District,,ends with 'SD'
North Penn SD,North Penn School District,,ends with 'SD'
North Pocono SD,North Pocono School District,,ends with 'SD'
Northampton Area SD,Northampton Area School District,,ends with 'SD'
Northeastern York SD,Northeastern York School District,,ends with 'SD'
Northern Lebanon SD,Northern Lebanon School District,,ends with 'SD'
Northern Lehigh SD,Northern Lehigh School District,,ends with 'SD'
Northern York County SD,Northern York County School District,,ends with 'SD'
Northgate SD,Northgate School District,,ends with 'SD'
Octorara Area SD,Octorara Area School District,,ends with 'SD'
Oil City Area SD,Oil City Area School District,,ends with 'SD'
Old Forge SD,Old Forge School District,,ends with 'SD'
Owen J Roberts SD,Owen J Roberts School District,,ends with 'SD'
Oxford Area SD,Oxford Area School District,,ends with 'SD'
Palmerton Area SD,Palmerton Area School District,,ends with 'SD'
Palmyra Area SD,Palmyra Area School District,,ends with 'SD'
Panther Valley SD,Panther Valley School District,,ends with 'SD'
Parkland SD,Parkland School District,,ends with 'SD'
Pen Argyl Area SD,Pen Argyl Area School District,,ends with 'SD'
Penn-Delco SD,Penn-Delco School District,,ends with 'SD'
Penn Hills SD,Penn Hills School District,,ends with 'SD'
Penn Manor SD,Penn Manor School District,,ends with 'SD'
Pennridge SD,Pennridge School District,,ends with 'SD'
Pennsbury SD,Pennsbury School District,,ends with 'SD'
Pequea Valley SD,Pequea Valley School District,,ends with 'SD'
Perkiomen Valley SD,Perkiomen Valley School District,,ends with 'SD'
Philadelphia City SD,Philadelphia City School District,,ends with 'SD'
Phoenixville Area SD,Phoenixville Area School District,,ends with 'SD'
Pittsburgh SD,Pittsburgh School District,,ends with 'SD'
Pittston Area SD,Pittston Area School District,,ends with 'SD'
Pleasant Valley SD,Pleasant Valley School District,,ends with 'SD'
Plum Borough SD,Plum Borough School District,,ends with 'SD'
Colonial SD,Colonial School District,,ends with 'SD'
Pocono Mountain SD,Pocono Mountain School District,,ends with 'SD'
Pottsgrove SD,Pottsgrove School District,,ends with 'SD'
Pottstown SD,Pottstown School District,,ends with 'SD'
Quaker Valley SD,Quaker Valley School District,,ends with 'SD'
Quakertown Community SD,Quakertown Community School District,,ends with 'SD'
Radnor Township SD,Radnor Township School District,,ends with 'SD'
Reading SD,Reading School District,,ends with 'SD'
Red Lion Area SD,Red Lion Area School District,,ends with 'SD'
Ridley SD,Ridley School District,,ends with 'SD'
Ringgold SD,Ringgold School District,,ends with 'SD'
Riverview SD,Riverview School District,,ends with 'SD'
Rose Tree Media SD,Rose Tree Media School District,,ends with 'SD'
Salisbury Township SD,Salisbury Township School District,,ends with 'SD'
Schuylkill Haven Area SD,Schuylkill Haven Area School District,,ends with 'SD'
Schuylkill Valley SD,Schuylkill Valley School District,,ends with 'SD'
Scranton SD,Scranton School District,,ends with 'SD'
Selinsgrove Area SD,Selinsgrove Area School District,,ends with 'SD'
Shaler Area SD,Shaler Area School District,,ends with 'SD'
Shamokin Area SD,Shamokin Area School District,,ends with 'SD'
Sharon City SD,Sharon City School District,,ends with 'SD'
Shenandoah Valley SD,Shenandoah Valley School District,,ends with 'SD'
Shikellamy SD,Shikellamy School District,,ends with 'SD'
Shippensburg Area SD,Shippensburg Area School District,,ends with 'SD'
Solanco SD,Solanco School District,,ends with 'SD'
Souderton Area SD,Souderton Area School District,,ends with 'SD'
South Allegheny SD,South Allegheny School District,,ends with 'SD'
South Park SD,South Park School District,,ends with 'SD'
South Williamsport Area SD,South Williamsport Area School District,,ends with 'SD'
Southern Lehigh SD,Southern Lehigh School District,,ends with 'SD'
Southern York County SD,Southern York County School District,,ends with 'SD'
Southeast Delco SD,Southeast Delco School District,,ends with 'SD'
South Western SD,South Western School District,,ends with 'SD'
Spring-Ford Area SD,Spring-Ford Area School District,,ends with 'SD'
Spring Grove Area SD,Spring Grove Area School District,,ends with 'SD'
Springfield SD,Springfield School District,,ends with 'SD'
Springfield Township SD,Springfield Township School District,,ends with 'SD'
Tuscarora SD,Tuscarora School District,,ends with 'SD'
State College Area SD,State College Area School District,,ends with 'SD'
Steel Valley SD,Steel Valley School District,,ends with 'SD'
Steelton-Highspire SD,Steelton-Highspire School District,,ends with 'SD'
Sto-Rox SD,Sto-Rox School District,,ends with 'SD'
Stroudsburg Area SD,Stroudsburg Area School District,,ends with 'SD'
Susquehanna Township SD,Susquehanna Township School District,,ends with 'SD'
Tamaqua Area SD,Tamaqua Area School District,,ends with 'SD'
Riverside SD,Riverside School District,,ends with 'SD'
Tredyffrin-Easttown SD,Tredyffrin-Easttown School District,,ends with 'SD'
Trinity Area SD,Trinity Area School District,,ends with 'SD'
Tulpehocken Area SD,Tulpehocken Area School District,,ends with 'SD'
Twin Valley SD,Twin Valley School District,,ends with 'SD'
Tyrone Area SD,Tyrone Area School District,,ends with 'SD'
Union Area SD,Union Area School District,,ends with 'SD'
Uniontown Area SD,Uniontown Area School District,,ends with 'SD'
Unionville-Chadds Ford SD,Unionville-Chadds Ford School District,,ends with 'SD'
Upper Adams SD,Upper Adams School District,,ends with 'SD'
Upper Darby SD,Upper Darby School District,,ends with 'SD'
Upper Dublin SD,Upper Dublin School District,,ends with 'SD'
Upper Merion Area SD,Upper Merion Area School District,,ends with 'SD'
Upper Moreland Township SD,Upper Moreland Township School District,,ends with 'SD'
Upper Perkiomen SD,Upper Perkiomen School District,,ends with 'SD'
