schoolid,lon,lat,population,compareMedian
010051002144,-86.7299050000000023,31.6268400000000014,180,above
010117000431,-86.996491000000006,34.6199099999999973,348,below
010117000437,-87.0072569999999956,34.6106010000000026,254,below
010120000441,-87.8298680000000047,32.5125760000000028,519,above
010123000450,-85.4279650000000004,31.2204890000000006,407,below
010123000452,-85.4023219999999981,31.2362700000000011,483,below
010180000620,-86.6112269999999995,34.7388130000000004,393,above
010180000624,-86.6097050000000053,34.7698960000000028,309,above
010237000907,-88.0500530000000055,30.6722110000000008,662,above
010237000943,-88.1190409999999957,30.6936199999999992,496,above
010243000991,-86.2716690000000028,32.3368600000000015,517,below
010243000996,-86.3342530000000039,32.3489969999999971,458,above
010243001014,-86.2859339999999975,32.3608550000000008,687,below
010243001027,-86.2530450000000002,32.2928139999999999,382,above
010270001547,-85.0325650000000053,32.5117789999999971,554,below
010336001250,-87.5044610000000063,33.2064099999999982,355,above
010336002145,-87.5239640000000065,33.2148249999999976,293,below
050001900044,-91.6469089999999937,35.7702230000000014,276,below
050001900046,-91.654445999999993,35.7778950000000009,458,below
050001900144,-91.6098420000000004,35.7587880000000027,428,below
050001901092,-91.4986719999999991,35.7541020000000032,296,below
050789000506,-93.091306000000003,34.4896979999999971,427,below
050789000511,-93.0645470000000046,34.4835810000000009,585,above
050789000512,-93.0740109999999987,34.4872599999999991,268,below
050789001187,-93.0419389999999993,34.504216999999997,337,above
050789001502,-93.0751910000000038,34.4881799999999998,272,above
050828000549,-90.7005290000000031,35.831468000000001,395,below
050828000550,-90.6886810000000025,35.822808000000002,592,above
050828000552,-90.7002630000000067,35.8783499999999975,505,above
050828000553,-90.7190480000000008,35.8235280000000032,552,above
050828000554,-90.7195219999999978,35.8389159999999976,450,above
050900000604,-92.2618460000000056,34.7288070000000033,459,above
050900000606,-92.2447300000000041,34.7429300000000012,274,above
050900000614,-92.2857910000000032,34.7348300000000023,282,above
050900000636,-92.3546620000000047,34.761727999999998,438,above
051311001071,-94.027323999999993,33.4086739999999978,291,above
051311001072,-94.0346820000000037,33.4388259999999988,289,above
051311001074,-94.0329619999999977,33.4053019999999989,312,above
051311001075,-94.0319899999999933,33.4559039999999968,381,above
051311001264,-94.0214229999999986,33.4661979999999986,564,below
060004707398,-121.429036999999994,37.7189720000000008,359,above
060004807406,-120.695684,35.6516200000000012,584,above
060004807407,-120.695640999999995,35.6326960000000028,508,above
060015811511,-120.863499000000005,37.4937049999999985,916,above
060015812175,-120.868196999999995,37.5322200000000024,783,below
060141406032,-119.720881000000006,34.3980099999999993,508,below
060162000001,-118.083445999999995,33.8354929999999996,321,above
060162000005,-118.087647000000004,33.8703160000000025,427,above
060162000008,-118.068611000000004,33.8565309999999968,522,above
060162000011,-118.070186000000007,33.8650969999999987,466,below
060162000023,-118.086005999999998,33.8792430000000024,630,above
060162000024,-118.076093999999998,33.8522970000000001,686,below
060162000025,-118.066838000000004,33.8428779999999989,561,above
060162000026,-118.047651000000002,33.8758759999999981,547,below
060171011089,-117.432688999999996,34.5793990000000022,524,above
060245008790,-120.653563000000005,38.4130439999999993,221,below
060363000300,-118.997411999999997,35.356862999999997,751,above
060363000308,-119.008662000000001,35.3592889999999969,774,above
060363000309,-118.968800000000002,35.3644960000000026,754,above
060363000313,-118.992530000000002,35.3655180000000016,690,above
060363003095,-118.880312000000004,35.3918689999999998,538,above
060363007992,-118.992151000000007,35.3717090000000027,403,above
060363009714,-118.916933,35.4046570000000003,759,above
060402013771,-117.030553999999995,34.892358999999999,97,above
060474000431,-122.270600000000002,37.8768799999999999,448,below
060939000958,-117.308718999999996,34.0417040000000029,692,above
060985001058,-117.556075000000007,33.8694630000000032,784,below
061062001175,-121.727278999999996,38.5606220000000022,536,below
061062001180,-121.745740999999995,38.5575710000000029,449,below
061062001181,-121.685632999999996,38.5511229999999969,466,below
061062001183,-121.759010000000004,38.5544969999999978,543,below
061062001184,-121.766287000000006,38.554431000000001,440,below
061062010456,-121.716361000000006,38.5414719999999988,399,above
061062011834,-121.708969999999994,38.5589510000000004,431,below
061111001229,-116.241567000000003,33.7211240000000032,512,above
061111011017,-116.252510999999998,33.7317320000000009,661,above
061111011244,-116.232809000000003,33.7046660000000031,672,above
061203001332,-115.574276999999995,32.7786240000000007,303,above
061336001523,-122.060852999999995,38.2675679999999971,679,below
061336009815,-122.081191000000004,38.2712410000000034,274,above
061389001565,-121.310028000000003,38.596223000000002,332,below
061389001572,-121.163476000000003,38.677934999999998,578,below
061389001579,-121.291831999999999,38.6171679999999995,266,below
061389008575,-121.277643999999995,38.5442650000000029,445,below
061389010294,-121.129474000000002,38.6863110000000035,610,below
061440001675,-122.011763999999999,37.5387890000000013,523,below
061455001706,-119.798280000000005,36.8175370000000015,136,above
061455001725,-119.732983000000004,36.7584039999999988,758,above
061455001752,-119.777890999999997,36.8292819999999992,417,above
061455003010,-119.716140999999993,36.7139979999999966,854,above
061455003019,-119.751006000000004,36.7525130000000004,749,above
061455008141,-119.809661000000006,36.8067300000000017,484,above
061455008843,-119.783299,36.7875390000000024,551,above
061455010488,-119.810889000000003,36.7713589999999968,502,above
061455010778,-119.783362999999994,36.7471180000000004,726,above
061473001793,-117.939434000000006,33.878501,643,below
061473001794,-117.925106,33.9092669999999998,410,below
061473001796,-117.932137999999995,33.8963800000000006,566,below
061524001926,-118.263110999999995,34.1399869999999979,776,above
061524001928,-118.296282000000005,34.162109000000001,592,below
061524001935,-118.272318999999996,34.1651659999999993,1023,below
061926002316,-117.425629999999998,33.9937579999999997,298,above
061995002394,-123.709406000000001,41.1879810000000006,18,below
062064011581,-120.020768000000004,38.8602369999999979,393,below
062241002681,-120.448518000000007,34.6353870000000015,537,above
062271002807,-118.251931999999997,34.102488000000001,412,above
062271002809,-118.271435999999994,33.8780799999999971,504,above
062271002811,-118.292929000000001,33.8955449999999985,802,above
062271002834,-118.364939000000007,34.0219069999999988,404,above
062271002860,-118.415481,33.9922219999999982,387,above
062271002870,-118.192772000000005,33.9446670000000026,837,above
062271002871,-118.206591000000003,34.1193540000000013,438,above
062271002892,-118.429456999999999,34.2329269999999966,1018,above
062271002901,-118.369373999999993,34.0593069999999969,356,above
062271002934,-118.285893999999999,34.0695880000000031,693,above
062271002939,-118.255835000000005,34.0663479999999979,659,above
062271002940,-118.405236000000002,33.9736240000000009,246,above
062271002969,-118.212833000000003,34.1358549999999994,631,above
062271002993,-118.206933000000007,34.0309140000000028,793,above
062271003008,-118.407571000000004,34.283223999999997,613,above
062271003043,-118.481420999999997,34.2415840000000031,493,above
062271003074,-118.477721000000003,34.2679749999999999,593,above
062271003084,-118.347871999999995,34.0138269999999992,710,above
062271003096,-118.170638999999994,34.0288219999999981,693,above
062271003115,-118.457992000000004,34.1680020000000013,977,below
062271003150,-118.513671000000002,34.216819000000001,592,above
062271003152,-118.293173999999993,34.1027490000000029,414,above
062271003153,-118.420434999999998,33.9578980000000001,373,above
062271003172,-118.363879999999995,34.0357109999999992,910,above
062271003178,-118.345314999999999,34.0841470000000015,337,below
062271003185,-118.218866000000006,33.9777410000000018,1000,above
062271003191,-118.409902000000002,34.1806249999999992,684,below
062271003206,-118.192953000000003,34.0683289999999985,480,above
062271003239,-118.245407,33.9341879999999989,611,above
062271003240,-118.211562000000001,33.9836110000000033,653,above
062271003246,-118.272960999999995,33.9262939999999986,922,above
062271003270,-118.304298000000003,33.7533159999999981,741,above
062271003285,-118.289910000000006,33.7142380000000017,337,above
062271003293,-118.320229999999995,33.9113079999999982,528,above
062271003312,-118.194278999999995,34.1332689999999985,296,above
062271003321,-118.251799000000005,33.9606629999999967,830,above
062271003328,-118.457781999999995,34.2624070000000032,736,above
062271003346,-118.316012000000001,33.9725049999999982,572,above
062271003379,-118.314830999999998,34.2627579999999981,441,above
062271003388,-118.298240000000007,33.7619370000000032,649,above
062271003427,-118.420349000000002,34.2399100000000018,560,above
062271003457,-118.472361000000007,33.9915269999999978,354,above
062271003470,-118.379953999999998,34.1143140000000003,521,below
062271007120,-118.209532999999993,33.959465999999999,755,above
062271009394,-118.218559999999997,33.9445229999999967,721,above
062271009395,-118.192960999999997,33.9658980000000028,791,above
062271009573,-118.201015999999996,33.9456229999999977,1047,above
062271010243,-118.188158000000001,33.9812000000000012,972,above
062271013006,-118.515300999999994,34.175139999999999,285,below
062271013726,-118.287706999999998,34.0748770000000008,578,above
062532003780,-118.016255000000001,34.1472679999999969,13,below
062569007783,-118.880431000000002,34.2809979999999968,461,above
062569007935,-118.886099999999999,34.2877140000000011,461,above
062569009157,-118.843618000000006,34.3001859999999965,552,above
062569010342,-118.905266999999995,34.2651740000000018,458,above
062580009934,-117.224999999999994,33.9530510000000021,785,above
062604003899,-122.309251000000003,41.3190030000000022,127,below
062637003957,-122.004559,37.9871770000000026,554,below
062637007319,-122.069050000000004,37.944111999999997,530,below
062664004011,-122.272557000000006,38.3026789999999977,384,below
062664004012,-122.306794999999994,38.3265189999999976,451,above
062664004023,-122.258003000000002,38.1863859999999988,461,above
062664004027,-122.316460000000006,38.3166950000000028,315,above
062664004030,-122.323642000000007,38.3408680000000004,275,above
062724007194,-117.901882999999998,33.6697169999999986,482,below
062814004328,-118.019205,33.7328940000000017,677,below
062825004359,-117.337243999999998,33.2054949999999991,405,above
062847004395,-117.645561000000001,34.0861480000000015,543,above
062847004410,-117.712834999999998,34.0521519999999995,672,above
062847004415,-117.622793999999999,34.0841220000000007,502,above
062847008925,-117.681453000000005,34.0767730000000029,343,above
062847009417,-117.646970999999994,34.0710789999999975,567,above
062847011318,-117.698774,34.0644599999999969,556,above
062865007195,-117.816181,33.7829770000000025,567,below
062994004673,-118.162921999999995,34.1835420000000028,497,above
062994004691,-118.081925999999996,34.1419989999999984,640,above
062994008729,-118.148377999999994,34.1728919999999974,588,above
063018011717,-117.233224000000007,33.761096000000002,743,above
063066004763,-117.851100000000002,33.903730000000003,666,below
063066004764,-117.855965999999995,33.8729659999999981,729,above
063066004776,-117.773304999999994,33.8686110000000014,433,below
063099004806,-118.878917999999999,34.2438250000000011,400,below
063132011672,-117.777691000000004,34.0706139999999991,438,above
063213007421,-122.243799999999993,37.4537699999999987,479,above
063213007422,-122.23536,37.4808499999999967,254,below
063386005294,-117.680995999999993,33.6076210000000017,438,below
063386005295,-117.658737000000002,33.6018060000000034,462,below
063386005300,-117.688991999999999,33.6400939999999977,539,below
063386005317,-117.682614999999998,33.5929399999999987,550,below
063386009186,-117.580171000000007,33.6533019999999965,524,below
063417001131,-117.366945000000001,34.204977999999997,474,above
063417005054,-117.354483999999999,34.2000799999999998,605,above
063417005348,-117.232797000000005,34.1480859999999993,579,above
063417005352,-117.330764000000002,34.1403079999999974,565,above
063417005364,-117.411683999999994,34.2354169999999982,312,above
063417005375,-117.301804000000004,34.1792060000000006,468,above
063417005376,-117.207652999999993,34.1403529999999975,514,above
063417005379,-117.322106000000005,34.1114430000000013,516,above
063417005383,-117.311836999999997,34.1272990000000007,636,above
063417009187,-117.290102000000005,34.1741069999999994,720,above
063417011107,-117.268866000000003,34.1268710000000013,624,above
063417012143,-117.238704999999996,34.1327739999999977,287,above
063417013080,-117.312315999999996,34.1250410000000031,277,above
063432005275,-117.061858000000001,32.7687949999999972,724,above
063432005414,-117.223651000000004,32.8024300000000011,430,below
063432005422,-117.148700000000005,32.7561800000000005,541,above
063432005440,-117.237938,32.793332999999997,400,below
063432005463,-117.103402000000003,32.7579649999999987,309,above
063432005464,-117.027647000000002,32.7046509999999984,306,above
063432005485,-117.133118999999994,32.7474759999999989,368,above
063432005487,-117.194196000000005,32.8233310000000031,147,below
063432005488,-117.075185000000005,32.7200530000000001,389,above
063432005502,-117.170513999999997,32.8192909999999998,433,above
063432005505,-117.189400000000006,32.7836700000000008,681,above
063432005529,-117.081173000000007,32.7325519999999983,539,above
063432005563,-117.071034999999995,32.7025170000000003,517,above
063432005567,-117.166437000000002,32.7238830000000007,332,above
063432005568,-117.092299999999995,32.723942000000001,296,above
063432005570,-117.031304000000006,32.7944099999999992,556,below
063432008965,-117.037938999999994,32.6802629999999965,1199,above
063432012000,-117.102862000000002,32.7417050000000032,686,above
063459004084,-121.901514000000006,37.3107090000000028,363,above
063459005697,-121.856789000000006,37.2465389999999985,558,above
063459005742,-121.882907000000003,37.269089000000001,731,below
063459007429,-121.885124000000005,37.3028759999999977,325,below
063462005810,-121.219942000000003,38.6697130000000016,470,below
063492002791,-122.300100000000001,37.5507100000000023,544,above
063492005906,-122.290631000000005,37.5371919999999975,442,below
063492005908,-122.301970999999995,37.5692280000000025,493,above
063492005912,-122.327447000000007,37.5761449999999968,455,below
063492005914,-122.316278999999994,37.5753350000000026,279,below
063492005915,-122.343100000000007,37.5695100000000011,427,above
063492005916,-122.296712999999997,37.5616210000000024,404,below
063492005917,-122.312865000000002,37.5616050000000001,510,above
063720006301,-122.487357000000003,38.3191640000000007,336,above
063795006397,-121.028109999999998,37.7118540000000024,322,below
063801001375,-121.284684999999996,37.9142709999999994,330,above
063801006401,-121.342477000000002,37.9674059999999969,747,above
063801006416,-121.295199999999994,37.9405399999999986,506,above
063801006417,-121.321219999999997,37.98292,163,above
063801011778,-121.303645000000003,37.9241150000000005,388,above
063801011779,-121.312461999999997,38.0105429999999984,578,above
063801011782,-121.265673000000007,37.9665699999999973,620,above
063801011783,-121.249212,37.9325270000000003,538,above
063801012698,-121.298917000000003,37.9678159999999991,312,above
064015006648,-117.793253000000007,33.7429240000000021,618,below
064074006724,-122.273403000000002,38.0952219999999997,317,above
064074006732,-122.243247999999994,38.1509130000000027,407,above
064098006751,-119.297638000000006,34.2968910000000022,429,above
064098006758,-119.206103999999996,34.2556179999999984,420,above
064098006765,-119.159045000000006,34.2848279999999974,354,above
064098006767,-119.305159000000003,34.2892730000000015,486,above
064098006770,-119.262348000000003,34.2719030000000018,520,above
064098009456,-119.209316000000001,34.2728820000000027,569,below
080192001842,-104.803448000000003,39.0120280000000008,415,below
080291000763,-104.876073000000005,39.6967360000000014,313,below
080333006667,-107.595211000000006,38.8708200000000019,25,below
080336001928,-104.833988000000005,39.7768980000000028,505,above
080345001288,-104.857408000000007,39.4028559999999999,343,below
080345006341,-104.879956000000007,39.5383939999999967,426,below
080435001552,-108.557793000000004,39.0490330000000014,144,below
080441000637,-104.709979000000004,40.3818759999999983,392,below
080453001903,-104.781643000000003,38.8124359999999982,336,above
080555001932,-104.991793999999999,39.8367339999999999,278,above
080555001997,-104.974300999999997,39.8370699999999971,179,above
080555002004,-104.960953000000004,39.8621830000000017,301,above
080555002007,-104.957806000000005,39.8627529999999979,309,above
080555002016,-104.955836000000005,39.8579330000000027,305,above
080555002017,-104.958460000000002,39.8652590000000018,320,above
080555002021,-104.960994999999997,39.8521590000000003,273,above
080555002031,-104.943584000000001,39.8607950000000031,298,above
080612006361,-104.630500999999995,38.2344000000000008,225,above
080612006378,-104.597643000000005,38.2760800000000003,400,above
080690006375,-104.981330999999997,39.8888400000000019,282,below
080690006468,-104.967950999999999,39.9083699999999979,300,below
080690006561,-105.004271000000003,39.8687100000000001,391,above
080723006567,-105.031671000000003,39.8286200000000008,136,below
090045001590,-73.2337859999999949,41.2155729999999991,275,above
090070000072,-72.594571000000002,41.7084899999999976,391,above
090070000210,-72.6865350000000063,41.7492570000000001,263,above
090070001357,-72.7129149999999953,41.7935170000000014,377,above
090070001511,-72.5954930000000047,41.806601999999998,367,above
090070001516,-72.8204010000000039,41.8009199999999979,355,above
090070001597,-72.6752510000000029,41.720320000000001,305,above
090070001601,-72.6668090000000007,41.8523190000000014,348,above
090070001623,-72.8357790000000023,41.809942999999997,257,above
090070001629,-72.6693709999999982,41.64255,223,above
090091000340,-73.1623979999999961,41.2046589999999995,284,above
090102001438,-73.4922250000000048,41.3937000000000026,390,below
090192000362,-72.7073100000000068,41.7920220000000029,246,above
090192000366,-72.7026110000000045,41.7415400000000005,373,above
090192000370,-72.6650180000000034,41.7550560000000033,436,above
090192000383,-72.7122009999999932,41.7685990000000018,430,above
090192001192,-72.6733519999999942,41.7598490000000027,194,above
090192001369,-72.707380999999998,41.7460999999999984,198,above
090192001435,-72.6758310000000023,41.7723299999999966,216,above
090192001531,-72.7078410000000019,41.7915800000000033,195,above
090192001534,-72.7041770000000014,41.8038969999999992,180,above
090192001616,-72.6720909999999947,41.7400700000000029,142,above
090192001641,-72.6987960000000015,41.7458680000000015,152,above
090279000542,-72.9524499999999989,41.3098469999999978,359,above
090279000543,-72.953684999999993,41.326075000000003,293,above
090279000544,-72.8868810000000025,41.2993200000000016,315,above
090279000545,-72.9337929999999943,41.2881610000000023,103,above
090279000551,-72.9733209999999986,41.3285600000000031,309,above
090279000647,-72.9681910000000045,41.3323099999999997,220,above
090279001387,-72.8782620000000065,41.3236909999999966,416,above
090279001388,-72.940094000000002,41.3338630000000009,340,above
090279001443,-72.9383250000000061,41.3007089999999977,315,above
090279001564,-72.9661009999999948,41.3276899999999969,342,above
090282000594,-72.0992909999999938,41.3221399999999974,501,above
090282000597,-72.0994050000000044,41.3683130000000006,577,above
090345000079,-72.0998069999999984,41.3587610000000012,535,below
090345001627,-72.6398109999999946,41.7453199999999995,192,above
090432000864,-73.5147450000000049,41.0537390000000002,545,below
090483000541,-73.0377610000000033,41.5497900000000016,518,above
090483001131,-72.9719089999999966,41.549038000000003,541,above
090519001640,-72.1734809999999953,41.7195600000000013,367,below
100068000075,-75.2257620000000031,38.4619750000000025,297,below
120003000003,-82.3314850000000007,29.6879680000000015,536,above
120003000009,-82.3091629999999981,29.6451369999999983,565,above
120003000015,-82.5229060000000061,29.5198639999999983,481,below
120003000619,-82.6049629999999979,29.6412060000000004,114,below
120015000093,-80.7499990000000025,28.3829160000000016,512,above
120015000095,-80.7410629999999969,28.3374479999999984,517,above
120018000151,-80.1766219999999947,26.1088549999999984,598,above
120018000155,-80.143146999999999,26.1584070000000004,589,above
120018000159,-80.161131999999995,26.0008189999999999,595,above
120018000164,-80.1556460000000044,26.1264299999999992,577,above
120018000166,-80.1537540000000064,26.0448440000000012,541,above
120018000170,-80.1064700000000016,26.3094040000000007,508,above
120018000179,-80.1952280000000002,26.1255459999999999,406,above
120018000180,-80.1964059999999961,25.9781569999999995,657,above
120018000181,-80.1415889999999962,26.1970740000000006,907,above
120018000187,-80.1625310000000013,26.2426430000000011,580,above
120018000197,-80.196780000000004,26.12697,68,above
120018000211,-80.1331849999999974,26.2485379999999999,451,above
120018000224,-80.1242340000000013,26.2633480000000006,587,above
120018000228,-80.162698000000006,26.1229189999999996,432,above
120018000248,-80.1443749999999966,26.2465389999999985,480,above
120018002080,-80.1328180000000003,26.1234959999999994,645,below
120018002980,-80.1532820000000044,26.1407939999999996,433,above
120018007843,-80.1518310000000014,26.0168600000000012,478,below
120039000367,-80.3986299999999972,25.5145699999999991,720,above
120039000383,-80.1734670000000023,25.8912669999999991,701,above
120039000391,-80.4175979999999981,25.5151569999999985,447,above
120039000406,-80.2258520000000033,25.8307690000000001,253,above
120039000410,-80.2334740000000011,25.8178969999999985,448,above
120039000457,-80.3750100000000032,25.6362200000000016,749,above
120039000468,-80.1869779999999963,25.8365310000000008,374,above
120039000469,-80.3555410000000023,25.6023059999999987,383,above
120039000471,-80.3934509999999989,25.5413099999999993,1055,above
120039000494,-80.3358510000000052,25.6154159999999997,777,above
120039000500,-80.2310679999999934,25.9142800000000015,393,above
120039000510,-80.219781999999995,25.9336699999999993,428,above
120039000518,-80.3061900000000009,25.7142899999999983,633,above
120039000520,-80.1942159999999973,25.7617359999999991,732,above
120039000523,-80.2768200000000007,25.7045899999999996,1163,above
120039000528,-80.2545360000000017,25.7355289999999997,374,above
120039000534,-80.2739129999999932,25.7212439999999987,314,above
120039001388,-80.1804599999999965,25.8549800000000012,597,above
120039002500,-80.3320930000000004,25.8743599999999994,921,above
120039002699,-80.3031880000000058,25.9434100000000001,922,above
120039002713,-80.231609000000006,25.9175819999999995,384,above
120039004072,-80.2054459999999949,25.7706729999999986,487,above
120039005838,-80.5063480000000027,25.4960200000000015,439,above
120039007580,-80.190441000000007,25.7897600000000011,144,above
120039007855,-80.189510999999996,25.7897700000000008,382,above
120048000633,-81.6961019999999962,30.308212000000001,282,below
120048000636,-81.6635780000000011,30.3628350000000005,315,above
120048000637,-81.703117000000006,30.2759309999999999,398,above
120048000638,-81.6919979999999981,30.318835,368,above
120048000640,-81.7144880000000029,30.2918559999999992,434,below
120048000646,-81.6071440000000052,30.1579140000000017,1035,below
120048000650,-81.6899959999999936,30.4115460000000013,257,above
120048000652,-81.7664419999999979,30.4255959999999988,487,below
120048000654,-81.786990000000003,30.3253130000000013,538,below
